"Name","Impressions per 7 days","Uniques per 7 days","Average CPM"
"161x125","33132","13196","0.023644069209694862"
"384x592","33132","561","4.505763053894043"
"377x314","33132","1403","0.35338979959487915"
"346x616","33132","280","5.025846004486084"
"375x300","32852","6458","0.35418808460235596"
"904x90","32852","1965","0.0720512866973877"
"200x20","32571","2246","3.75"
"597x280","32290","842","0.28747832775115967"
"384x374","32009","13758","0.3796491026878357"
"334x250","32009","3650","0.27631574869155884"
"1087x1788","31728","280","5.712390422821045"
"588x280","31728","7862","0.2645132839679718"
"666x60","31728","8985","0.15256637334823608"
"450x280","31448","6458","0.6358928084373474"
"311x250","31448","12073","0.3011607229709625"
"293x250","31448","4773","0.14348213374614716"
"796x90","31448","1123","0.12455353140830994"
"270x225","31448","561","0.6510716080665588"
"394x1451","30886","15162","0.24318182468414307"
"962x493","30886","1123","2.687272787094116"
"798x412","30886","4492","7.309091567993164"
"601x916","30886","1123","4.5014543533325195"
"533x90","30324","2807","1.1446294784545898"
"390x250","30324","21339","1.244907259941101"
"637x280","30324","10950","0.42175930738449097"
"305x280","30044","8423","0.2871962785720825"
"1366x1024","30044","2246","9.440467834472656"
"578x280","29763","11231","0.29650944471359253"
"344x286","29763","280","0.41367924213409424"
"300x430","29763","6177","4.5120744705200195"
"250x60","29482","16566","0.11599999666213989"
"307x250","29482","8704","0.9145714640617371"
"768x66","29482","1403","0.7942856550216675"
"624x280","29482","7581","0.15533332526683807"
"360x597","29482","842","17.660287857055664"
"560x60","29201","3931","0.19153845310211182"
"306x54","29201","7862","0.505384624004364"
"330x50","29201","4211","0.06567306816577911"
"460x280","28921","10950","0.8660194873809814"
"394x250","28921","14039","0.47563105821609497"
"571x280","28640","4211","0.5119607448577881"
"723x60","28640","1684","0.7856863737106323"
"930x90","28640","3931","0.30352938175201416"
"331x250","28640","7581","0.22245098650455475"
"411x280","28640","842","0.1483333557844162"
"250x600","28640","16004","0.2819802165031433"
"321x51","28359","561","0.04207921773195267"
"375x200","28359","13477","0.2537623941898346"
"221x600","28359","9546","0.3995049297809601"
"274x178","28359","2527","0.9312871694564819"
"767x90","28078","842","0.14259999990463257"
"160x750","28078","8142","0.047499995678663254"
"345x1285","27797","12635","0.31929293274879456"
"564x60","27797","4492","0.7968686819076538"
"340x50","27797","1684","0.23959597945213318"
"283x280","27517","7300","0.09244898706674576"
"752x90","27517","5896","1.6142858266830444"
"300x400","27517","14881","1.2904082536697388"
"600x400","27236","1965","14.426494598388672"
"602x60","27236","4211","0.2275257557630539"
"424x705","27236","1403","7.546491622924805"
"306x250","26955","12916","0.5531249642372131"
"580x90","26955","3088","0.16510416567325592"
"521x60","26955","2527","0.20614582300186157"
"100x50","26674","1403","14.578947067260742"
